Date,Open,High,Low,Close,Inflasi,Kurs,M2,Vix Open,Vix High,Vix Low,Vix Close,ROE,NPM,PER,Sentiment_Perang,Sentiment_Resesi,Sentiment_BBM
2/16/2022,1175,1195,1175,1185,2.046428571,14278,7760079.922,25.190001,27.09,23.879999,24.290001,0.904786061,0.062559602,19.22555118,0.898966873,0.898966873,0.898966873
2/17/2022,1185,1200,1180,1185,2.050952381,14301,7766438.597,24.83,28.370001,24.76,28.110001,0.908955008,0.062655475,18.96357291,0.879076695,0.879076695,0.879076695
2/20/2022,1185,1190,1170,1180,2.05547619,14315,7772797.272,27.153333,29.59333433,25.97333333,28.34333367,0.913123955,0.062751347,18.70159464,0.807595456,0.807595456,0.807595456
2/21/2022,1180,1185,1160,1165,2.06,14329,7779155.946,29.476666,30.81666767,27.18666667,28.57666633,0.917292902,0.06284722,18.43961636,0.827164578,0.827164578,0.827164578
2/22/2022,1165,1190,1160,1170,2.092222222,14362,7785514.621,31.799999,32.040001,28.4,28.809999,0.921461849,0.062943092,18.17763809,0.887571299,0.887571299,0.887571299
2/23/2022,1170,1170,1145,1160,2.124444444,14355,7791873.296,28.040001,31.07,27.200001,31.02,0.909152008,0.063031694,18.96988313,0.789784867,0.789784867,0.789784867
2/24/2022,1160,1175,1155,1155,2.156666667,14371,7798231.971,37.5,37.790001,29.450001,30.32,0.896842168,0.063120295,19.76212816,0.84163835,0.84163835,0.84163835
2/28/2022,1155,1175,1155,1165,2.188888889,14360.5,7804590.645,32.439999,33.509998,28.43,30.15,0.884532328,0.063208897,20.5543732,0.992008424,0.992008424,0.992008424
3/1/2022,1165,1180,1155,1155,2.221111111,14350,7810949.32,17.6,18.540001,16.559999,16.6,0.872222488,0.063297499,21.34661823,0.840256453,0.840256453,0.840256453
3/3/2022,1155,1170,1150,1170,2.253333333,14370.33333,7812400.187,30.52,32.009998,29.309999,30.48,0.859912648,0.0633861,22.13886327,0.908162892,0.908162892,0.908162892
3/6/2022,1170,1175,1145,1150,2.285555556,14390.66667,7813851.054,24.91,25.959999,24.76,24.790001,0.847602808,0.063474702,22.93110831,0.88194706,0.88194706,0.88194706
3/7/2022,1150,1150,1130,1140,2.317777778,14411,7815301.921,24.3850005,24.9399995,23.22,23.370001,0.835292968,0.063563304,23.72335334,0.747962689,0.747962689,0.747962689
3/8/2022,1140,1145,1125,1135,2.35,14394,7816752.788,23.860001,23.92,21.68,21.950001,0.822983127,0.063651905,24.51559838,0.833130145,0.833130145,0.833130145
3/9/2022,1135,1140,1120,1125,2.382222222,14371,7818203.655,25.652501,26.235,23.77499975,24.40500075,0.810673287,0.063740507,25.30784341,0.708237268,0.708237268,0.708237268
3/10/2022,1125,1135,1120,1135,2.414444444,14298,7819654.523,27.445001,28.55,25.8699995,26.8600005,0.798363447,0.063829109,26.10008845,0.950632441,0.950632441,0.950632441
3/13/2022,1135,1160,1130,1150,2.446666667,14313,7821105.39,29.237501,30.865,27.96499925,29.31500025,0.786053607,0.06391771,26.89233349,0.920156336,0.920156336,0.920156336
3/14/2022,1150,1185,1145,1155,2.478888889,14328,7822556.257,31.030001,33.18,30.059999,31.77,0.773743767,0.064006312,27.68457852,0.990778327,0.990778327,0.990778327
3/15/2022,1155,1190,1155,1170,2.511111111,14321,7824007.124,33.130001,33.830002,29.57,29.83,0.761433927,0.064094914,28.47682356,0.907094908,0.907094908,0.907094908
3/16/2022,1170,1180,1160,1165,2.543333333,14311,7825457.991,29.02,29.799999,26.290001,26.67,0.749124087,0.064183515,29.26906859,0.886646909,0.886646909,0.886646909
3/17/2022,1165,1165,1120,1120,2.575555556,14290,7826908.858,26.51,27.469999,25.25,25.67,0.736814246,0.064272117,30.06131363,0.976318181,0.976318181,0.976318181
3/20/2022,1120,1125,1100,1105,2.607777778,14315.5,7828359.725,25.8249995,26.415,24.12,24.6000005,0.724504406,0.064360719,30.85355866,0.849148726,0.849148726,0.849148726
3/21/2022,1105,1105,1085,1095,2.64,14341,7829810.592,25.139999,25.360001,22.99,23.530001,0.712194566,0.06444932,31.6458037,0.962319851,0.962319851,0.962319851
